No,NIM,SISDIG,JARKOM,ARKOM,APSI,MANPRO,SCM,PBO,RPL,SPEM STI,PER PEM STI,KURPEM,KBK
59,1901932,3.7,2.4,3,3,3.7,3.7,3.4,3.7,3.7,3.7,4,Sistem Informasi Bisnis
60,1901938,3.7,3.4,3,3.4,3.7,4,3.7,3.4,4,4,3.7,Sistem Informasi Bisnis
61,1902914,3.7,3.4,4,3.4,4,3.7,3,3.7,4,3.4,3.7,Teknik Informatika
62,1903512,3.7,4,3,3.4,3.7,4,3.4,4,4,3.4,4,Teknik Informatika
63,1903916,4,3.4,3,3.4,3.7,3.7,4,3.7,4,4,4,Vokasi Informatika
64,1904005,3.7,3.7,3,3,3.7,3.7,3.7,3.7,3.7,3.7,3.7,Vokasi Informatika
65,1904198,4,2.7,2.7,3.4,3.7,3.7,3.7,3.7,4,4,4,Sistem Informasi Bisnis
66,1904412,3.7,3.7,3,3.7,3.7,3.4,3.4,4,4,4,4,Teknik Informatika
67,1904428,3.7,3.4,3,3.7,4,4,2.7,3.7,4,3.7,3.7,Vokasi Informatika
68,1904448,4,3.7,3,3,3.7,3.7,3.7,3.7,4,4,4,Sistem Informasi Bisnis
70,1904517,3.7,3.7,3.4,3.7,4,3.4,3.4,4,4,4,3.4,Teknik Informatika
71,1905707,3.7,3.7,3,3,4,3.7,3.7,3.7,4,3.7,3.7,Sistem Informasi Bisnis
72,1905854,4,3.7,3,3,3.7,3.7,4,3.7,4,4,4,Teknik Informatika
73,1905921,3.7,3.4,3,3,3.7,3.7,3.7,3.7,4,3.7,4,Vokasi Informatika
75,1908717,4,3,3,3.7,3.7,3.7,3.4,3.7,3.7,3.4,3.7,Teknik Informatika
76,1908893,3.7,3.7,3,3,3.7,3.7,3.4,3.4,3.4,3.4,4,Sistem Informasi Bisnis
77,1909746,4,3.7,3,3.4,3.7,3.4,4,3.7,3.4,3.7,3,Teknik Informatika
